CTID,A_TRIP,P_TRIP,A_SHARE,P_SHARE,P_SHARE_PCT,A_TRIP_W,P_TRIP_W,A_SHARE_W,P_SHARE_W,P_SHARE_PCT_W,A_EMPTY,P_EMPTY,A_EMPTY_W,P_EMPTY_W
17031836400,176,187,99,89,0.475935829,166,167,87,70,0.419161677,105,137,99,125
17031836500,91,97,53,43,0.443298969,85,87,47,36,0.413793103,84,73,73,68
17031836600,170,182,72,73,0.401098901,185,188,71,66,0.35106383,113,153,125,125
17031836700,193,180,83,76,0.422222222,173,144,62,53,0.368055556,151,184,169,177
17031836800,134,148,64,63,0.425675676,167,168,67,62,0.369047619,204,207,211,256
17031836900,72,87,37,35,0.402298851,73,83,37,34,0.409638554,80,58,77,73
17031837000,98,110,50,47,0.427272727,90,98,46,39,0.397959184,72,91,70,78
17031837100,171,181,74,72,0.397790055,121,134,52,50,0.373134328,256,283,224,218
17031837300,95,113,50,50,0.442477876,88,97,45,41,0.422680412,87,79,66,76
17031837400,103,115,50,49,0.426086957,97,109,47,46,0.422018349,284,282,300,285
17031837800,495,424,188,154,0.363207547,425,366,137,112,0.306010929,301,365,312,348
17031838000,379,383,160,138,0.360313316,324,342,112,99,0.289473684,524,485,439,364
17031838100,1507,991,356,289,0.291624622,1327,831,238,180,0.216606498,1112,1340,824,1122
17031838200,1448,1232,512,490,0.397727273,567,493,237,216,0.438133874,1035,1454,831,1022
17031838300,511,527,138,136,0.258064516,587,540,119,104,0.192592593,467,506,548,638
17031838600,79,85,44,37,0.435294118,79,82,44,34,0.414634146,81,71,62,62
17031838700,150,159,86,77,0.48427673,136,137,77,65,0.474452555,99,142,101,115
17031838800,80,91,39,40,0.43956044,79,88,39,37,0.420454545,154,136,136,146
17031839000,1940,1923,592,477,0.248049922,2236,2141,569,462,0.215787015,1750,1937,2114,2219
17031839100,15587,12453,3109,2678,0.215048583,7602,7082,1275,1222,0.172550127,14238,17597,7594,8797
17031839200,263,270,152,131,0.485185185,214,208,108,91,0.4375,263,337,351,393
17031839500,125,127,70,58,0.456692913,129,126,65,51,0.404761905,125,129,132,153
17031839600,140,131,75,58,0.442748092,124,117,63,49,0.418803419,96,106,94,83
