CTID,WI_WEIGHTEDSUM
17031010100,12.00956184
17031010201,13.52683659
17031010202,16.17419475
17031010300,14.3714631
17031010400,12.77507341
17031010501,11.59229646
17031010502,13.50621449
17031010503,13.11682465
17031010600,14.73370592
17031010701,11.76341148
17031010702,13.76559984
17031020100,13.51530915
17031020200,16.20179282
17031020301,12.96675701
17031020302,15.93936275
17031020400,11.71020569
17031020500,13.71661848
17031020601,13.0303271
17031020602,14.33453472
17031020701,17.44131311
17031020702,14.53289462
17031020801,15.11516427
17031020802,14.82373125
17031020901,13.15664646
17031020902,14.6603096
17031030101,13.20125069
17031030102,10.46953191
17031030103,11.89889103
17031030104,10.97721753
17031030200,16.13718378
17031030300,13.1593525
17031030400,16.03914839
17031030500,14.54461431
17031030601,12.56357861
17031030603,11.50135352
17031030604,14.24483615
17031030701,15.167
17031030702,13.05059292
17031030703,13.39537495
17031030706,16.4880945
17031030800,13.71104863
17031030900,17.2833381
17031031000,14.74531028
17031031100,15.99667312
17031031200,15.78974627
17031031300,14.34008926
17031031400,14.73660924
17031031501,9.970867396
17031031502,13.76426665
17031031700,13.7652115
17031031800,15.833
17031031900,14.94783715
17031032100,13.88741129
17031040100,16.30057177
17031040201,13.93940874
17031040202,12.25154188
17031040300,14.64533879
17031040401,14.33573587
17031040402,13.38171599
17031040600,15.58115256
17031040700,13.94672947
17031040800,15.11381378
17031040900,16.41989306
17031050100,16.14484146
17031050200,15.11526686
17031050300,13.86247806
17031050500,13.86511281
17031050600,16.66799836
17031050700,11.5
17031050800,13.5
17031050900,13.333
17031051000,16.333
17031051100,17.167
17031051200,15.25142966
17031051300,14.56725139
17031051400,14.81726049
17031060100,13.07188064
17031060200,14.41800527
17031060300,16.41817695
17031060400,13.79103372
17031060500,16.167
17031060800,14.39649707
17031060900,14.52750285
17031061000,13.833
17031061100,14.333
17031061200,17.167
17031061500,14
17031061800,14.667
17031061901,13.29732267
17031061902,15.12656545
17031062000,14.07474557
17031062100,15.22434269
17031062200,12.90847139
17031062300,15.333
17031062400,13.833
17031062500,18.667
17031062600,18.333
17031062700,15.58475672
17031062800,15.24601637
17031062900,14.73002903
17031063000,17.42846715
17031063100,15.28190702
17031063200,15.73985671
17031063301,13.85028707
17031063302,10.34900467
17031063303,15.83735535
17031063400,15.81324885
17031070101,16.54822008
17031070102,16.20619892
17031070103,13
17031070200,15.27240567
17031070300,17.23165515
17031070400,15.25138919
17031070500,15.82683425
17031070600,16.74490757
17031070700,16.2642729
17031071000,16.41672005
17031071100,16.76426339
17031071200,17.79106416
17031071300,16.27936956
17031071400,17.8231996
17031071500,16.45096142
17031071600,17.167
17031071700,15.42644366
17031071800,14.8347776
17031080100,14.69157712
17031080201,16.75201165
17031080202,16.45504204
17031080300,16.60169564
17031080400,16.05114961
