CTID,C000,EMP_DEN,CA01,CA02,CA03,CE01,CE02,CE03,NS01,NS02,NS03,NS04,NS05,NS06,NS07,NS08,NS09,NS10,NS11,NS12,NS13,NS14,NS15,NS16,NS17,NS18,NS19,NS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02
17197880202,15106,#N/A,3064,8834,3208,2097,4951,8058,0,36,0,1648,3095,4031,665,2218,1445,5,158,312,112,581,56,46,98,349,251,0,12272,2088,85,505,9,147,11687,3419,2183,3240,3687,2932,10291,4815
17197880203,924,#N/A,216,550,158,302,271,351,0,0,0,28,30,8,20,0,31,19,0,29,0,92,43,0,0,91,40,493,820,69,1,20,3,11,800,124,81,177,234,216,562,362
17197880204,1956,#N/A,595,1047,314,514,850,592,0,1,0,23,0,2,471,1013,0,29,3,25,0,96,0,71,58,107,57,0,1429,429,11,59,0,28,1638,318,232,439,407,283,1156,800
17197880303,694,#N/A,97,458,139,210,149,335,0,0,0,4,0,6,12,1,0,0,7,25,0,5,511,49,9,60,5,0,615,23,2,47,0,7,657,37,26,104,183,284,177,517
17197880304,302,#N/A,36,181,85,114,56,132,0,0,0,21,0,6,0,3,0,2,0,29,0,56,154,3,1,2,25,0,247,31,0,22,0,2,284,18,26,44,83,113,103,199
17197880305,242,#N/A,48,133,61,52,68,122,0,0,0,23,3,16,17,3,0,4,2,59,0,1,0,74,1,16,23,0,198,5,0,35,0,4,232,10,9,31,48,106,109,133
17197880306,441,#N/A,132,215,94,178,115,148,0,0,0,22,15,55,18,15,1,15,5,73,0,4,23,90,72,32,1,0,333,26,3,75,0,4,383,58,34,61,74,140,186,255
17197880307,799,#N/A,289,374,136,341,260,198,0,0,0,4,3,17,243,11,6,49,14,172,0,26,5,108,0,100,41,0,607,43,3,136,1,9,713,86,47,104,134,225,350,449
17197880308,2047,#N/A,592,1127,328,565,722,760,0,76,4,341,110,127,250,75,0,26,27,179,7,205,4,48,14,276,278,0,1781,149,13,86,2,16,1774,273,180,395,457,423,1265,782
17197880309,927,#N/A,316,451,160,414,287,226,15,0,0,9,35,28,117,8,9,70,41,73,0,16,20,135,34,205,112,0,763,61,5,82,1,15,826,101,72,137,183,219,374,553
17197880310,3760,#N/A,1861,1489,410,1882,1415,463,0,0,0,60,22,6,871,34,5,36,11,133,0,54,28,332,20,1946,202,0,3049,476,10,166,3,56,3258,502,281,556,612,450,1583,2177
17197880312,3102,#N/A,889,1608,605,1190,1090,822,21,0,0,282,58,54,436,243,77,31,40,233,0,113,154,291,100,859,100,10,2598,250,5,211,1,37,2606,496,358,588,593,674,1453,1649
